Date;Highprice;Lowprice;Closingprice;Gennemsnitligepris;Totalvolume;Omsætning;
2021-08-20;2009,60;1987,65;2007,49;;1;;
2021-08-19;2002,60;1976,39;1993,86;;1;;
2021-08-18;2011,42;1992,03;2009,14;;1;;
2021-08-17;1997,82;1967,40;1996,20;;1;;
2021-08-16;1984,27;1969,12;1977,70;;1;;
2021-08-13;1986,13;1969,16;1980,10;;1;;
2021-08-12;1970,95;1955,83;1964,73;;1;;
2021-08-11;1982,03;1958,40;1969,59;;1;;
2021-08-10;1992,15;1972,93;1975,52;;1;;
2021-08-09;1981,60;1958,96;1976,63;;1;;
2021-08-06;1977,17;1954,61;1957,61;;1;;
2021-08-05;1984,16;1972,04;1980,27;;1;;
2021-08-04;1969,06;1939,46;1965,84;;1;;
2021-08-03;1947,16;1932,48;1936,22;;1;;
2021-08-02;1940,31;1915,99;1933,32;;1;;
2021-07-30;1931,03;1900,67;1925,60;;1;;
2021-07-29;1938,04;1907,70;1916,05;;1;;
2021-07-28;1929,46;1898,51;1925,06;;1;;
2021-07-27;1911,36;1895,70;1902,68;;1;;
2021-07-26;1930,47;1911,06;1914,88;;1;;
2021-07-23;1932,04;1911,35;1922,46;;1;;
2021-07-22;1926,53;1898,63;1925,52;;1;;
2021-07-21;1905,36;1878,30;1904,63;;1;;
2021-07-20;1891,13;1860,34;1872,68;;1;;
2021-07-19;1892,08;1855,74;1875,74;;1;;
2021-07-16;1903,36;1885,42;1894,35;;1;;
2021-07-15;1919,49;1893,23;1895,50;;1;;
2021-07-14;1927,01;1908,31;1920,09;;1;;
2021-07-13;1927,00;1909,56;1923,86;;1;;
2021-07-12;1925,47;1897,58;1923,62;;1;;
2021-07-09;1916,39;1881,58;1897,15;;1;;
2021-07-08;1926,49;1901,30;1903,30;;1;;
2021-07-07;1931,91;1902,15;1925,73;;1;;
2021-07-06;1911,51;1887,34;1902,37;;1;;
2021-07-05;1891,13;1876,05;1886,40;;1;;
2021-07-02;1899,29;1878,55;1883,55;;1;;
2021-07-01;1893,54;1867,68;1888,88;;1;;
2021-06-30;1879,07;1854,24;1860,41;;1;;
2021-06-29;1877,08;1853,41;1868,65;;1;;
2021-06-28;1857,20;1842,87;1856,16;;1;;
2021-06-25;1850,46;1840,24;1847,02;;1;;
2021-06-24;1847,82;1826,99;1845,24;;1;;
2021-06-23;1847,09;1825,05;1825,89;;1;;
2021-06-22;1846,23;1830,38;1839,80;;1;;
2021-06-21;1836,35;1811,85;1836,35;;1;;
2021-06-18;1855,67;1825,69;1828,22;;1;;
2021-06-17;1844,83;1823,62;1838,66;;1;;
2021-06-16;1857,88;1835,94;1854,45;;1;;
2021-06-15;1845,70;1831,49;1837,63;;1;;
2021-06-14;1830,98;1819,01;1830,56;;1;;
2021-06-11;1829,80;1810,92;1815,04;;1;;
2021-06-10;1826,25;1796,90;1813,74;;1;;
2021-06-09;1820,02;1799,65;1815,42;;1;;
2021-06-08;1814,17;1794,18;1802,23;;1;;
2021-06-07;1806,95;1794,13;1806,36;;1;;
2021-06-04;1800,40;1783,89;1799,79;;1;;
2021-06-03;1794,47;1768,64;1787,96;;1;;
2021-06-02;1818,47;1784,47;1786,33;;1;;
2021-06-01;1817,30;1797,37;1807,12;;1;;
2021-05-31;1813,97;1793,05;1793,05;;1;;
2021-05-28;1810,38;1777,85;1805,89;;1;;
2021-05-27;1805,29;1781,81;1782,30;;1;;
2021-05-26;1815,10;1799,45;1801,52;;1;;
2021-05-25;1815,78;1800,03;1803,01;;1;;
2021-05-21;1803,03;1781,55;1796,89;;1;;
2021-05-20;1779,43;1752,19;1776,84;;1;;
2021-05-19;1751,71;1727,86;1743,61;;1;;
2021-05-18;1767,72;1749,79;1754,81;;1;;
2021-05-17;1748,48;1721,50;1742,44;;1;;
2021-05-12;1744,08;1716,82;1718,43;;1;;
2021-05-11;1755,65;1710,61;1726,27;;1;;
2021-05-10;1779,14;1764,59;1772,84;;1;;
2021-05-07;1779,95;1755,06;1779,53;;1;;
2021-05-06;1781,12;1748,43;1750,52;;1;;
2021-05-05;1779,22;1748,34;1771,03;;1;;
2021-05-04;1782,79;1730,01;1734,58;;1;;
2021-05-03;1776,52;1758,44;1769,41;;1;;
2021-04-29;1792,05;1765,05;1766,36;;1;;
2021-04-28;1792,76;1764,89;1781,11;;1;;
2021-04-27;1812,53;1779,03;1788,48;;1;;
2021-04-26;1783,56;1763,54;1765,21;;1;;
2021-04-23;1771,84;1754,95;1761,54;;1;;
2021-04-22;1766,45;1722,43;1763,85;;1;;
2021-04-21;1726,26;1708,02;1724,87;;1;;
2021-04-20;1733,85;1705,26;1705,26;;1;;
2021-04-19;1750,94;1727,53;1727,53;;1;;
2021-04-16;1741,62;1722,10;1737,89;;1;;
2021-04-15;1721,51;1706,45;1719,26;;1;;
2021-04-14;1729,89;1705,85;1706,24;;1;;
2021-04-13;1721,65;1704,83;1719,58;;1;;
2021-04-12;1728,51;1701,69;1703,76;;1;;
2021-04-09;1725,59;1701,78;1724,42;;1;;
2021-04-08;1712,46;1681,43;1710,22;;1;;
2021-04-07;1705,91;1677,97;1679,70;;1;;
2021-04-06;1713,25;1685,70;1695,96;;1;;
2021-03-31;1702,77;1661,30;1689,80;;1;;
2021-03-30;1672,11;1660,21;1665,35;;1;;
2021-03-29;1666,68;1642,76;1663,07;;1;;
2021-03-26;1651,25;1627,96;1651,25;;1;;
2021-03-25;1623,60;1605,69;1620,67;;1;;
2021-03-24;1639,40;1616,41;1619,52;;1;;
2021-03-23;1652,52;1635,46;1640,14;;1;;
2021-03-22;1653,34;1622,10;1649,25;;1;;
2021-03-19;1640,61;1615,13;1637,03;;1;;
2021-03-18;1634,82;1608,34;1630,60;;1;;
2021-03-17;1654,90;1614,05;1623,06;;1;;
2021-03-16;1657,61;1635,49;1655,74;;1;;
2021-03-15;1642,01;1629,98;1636,08;;1;;
2021-03-12;1639,01;1617,82;1624,13;;1;;
2021-03-11;1648,54;1618,14;1642,26;;1;;
2021-03-10;1625,79;1594,38;1621,94;;1;;
2021-03-09;1612,33;1558,63;1607,33;;1;;
2021-03-08;1561,17;1533,93;1556,40;;1;;
2021-03-05;1559,17;1538,08;1538,82;;1;;
2021-03-04;1584,72;1549,01;1560,01;;1;;
2021-03-03;1625,74;1575,06;1580,93;;1;;
2021-03-02;1643,25;1620,68;1620,93;;1;;
2021-03-01;1638,90;1625,46;1633,01;;1;;
2021-02-26;1629,05;1593,19;1606,86;;1;;
2021-02-25;1636,17;1621,46;1627,61;;1;;
2021-02-24;1627,05;1604,50;1609,75;;1;;
2021-02-23;1650,28;1591,09;1615,97;;1;;
2021-02-22;1670,65;1645,22;1645,22;;1;;
2021-02-19;1686,11;1662,80;1676,75;;1;;
2021-02-18;1711,69;1677,41;1678,12;;1;;
2021-02-17;1712,08;1693,20;1701,43;;1;;
2021-02-16;1718,31;1708,31;1711,93;;1;;
2021-02-15;1712,69;1701,30;1710,28;;1;;
2021-02-12;1697,79;1675,73;1696,00;;1;;
2021-02-11;1672,77;1633,32;1672,01;;1;;
2021-02-10;1658,85;1626,40;1631,47;;1;;
2021-02-09;1672,97;1656,53;1660,03;;1;;
2021-02-08;1688,62;1668,61;1672,76;;1;;
2021-02-05;1685,89;1671,72;1679,40;;1;;
2021-02-04;1697,76;1661,10;1665,23;;1;;
2021-02-03;1690,66;1669,69;1675,26;;1;;
2021-02-02;1669,71;1643,90;1665,37;;1;;
2021-02-01;1645,07;1620,21;1639,48;;1;;
2021-01-29;1631,75;1608,86;1612,51;;1;;
2021-01-28;1646,02;1562,23;1644,17;;1;;
2021-01-27;1662,26;1605,89;1628,07;;1;;
2021-01-26;1690,47;1665,73;1667,63;;1;;
2021-01-25;1696,31;1673,31;1688,72;;1;;
2021-01-22;1694,93;1672,85;1685,72;;1;;
2021-01-21;1708,85;1687,35;1691,06;;1;;
2021-01-20;1693,18;1673,87;1689,91;;1;;
2021-01-19;1688,83;1670,36;1686,82;;1;;
2021-01-18;1677,76;1650,14;1667,86;;1;;
2021-01-15;1677,63;1649,17;1657,63;;1;;
2021-01-14;1678,70;1666,09;1676,51;;1;;
2021-01-13;1672,46;1639,60;1671,63;;1;;
2021-01-12;1700,63;1662,93;1664,55;;1;;
2021-01-11;1705,45;1683,91;1690,54;;1;;
2021-01-08;1716,25;1697,20;1706,57;;1;;
2021-01-07;1700,70;1686,05;1691,89;;1;;
2021-01-06;1692,00;1671,97;1673,52;;1;;
2021-01-05;1701,95;1678,93;1680,59;;1;;
2021-01-04;1707,68;1686,97;1701,55;;1;;
2020-12-30;1695,17;1676,67;1676,67;;1;;
2020-12-29;1696,16;1682,32;1688,22;;1;;
2020-12-28;1683,32;1655,62;1682,93;;1;;
2020-12-23;1664,21;1643,55;1649,42;;1;;
2020-12-22;1654,25;1639,77;1654,20;;1;;
2020-12-21;1646,40;1623,22;1634,76;;1;;
2020-12-18;1644,28;1618,93;1643,84;;1;;
